"","V1","V2","V3","V4","V5"
"1",0.211418194200518,0.0587077476665597,0.0344620484874213,-0.0392094476662191,-0.125407902200726
"2",0.278524260634293,0.0767373569747155,0.0331638072635335,0.000565111127569997,-0.0592939942311107
"3",0.138004782565597,0.0862805632976473,0.0774987441520466,0.00708363077482672,-0.0245679371592924
"4",0.174580001441507,0.0873542530628598,0.0704401665559092,0.0206216663119573,-0.0217571247287963
"5",0.140019791681926,0.0853775881930828,0.049596308271077,0.0218127385705055,-0.0136974941340027
"6",0.106403281754857,0.0505024272971424,0.0617309307297039,0.0180312130205228,-0.0135875117630443
"7",0.14121123101448,0.088256217589345,0.0402817351789102,0.0185970932681052,-0.00575918681221394
"8",0.134659876884474,0.0983349563450476,0.0332805847875266,0.0222230328035493,-0.00313621094275279
"9",0.151062370229472,0.0512615667214386,0.0509693271782432,0.0225828155466868,-0.00209465558096215
"10",0.148208986163824,0.0902533191833122,0.0489746923521562,0.0238445917702138,3.69748664224333e-06
